bph0001;Siediti con la schiena più dritta possibile, concentrati e cerca di tenere le spalle rilassate.
bph0002;Il tuo sedere dovrebbe toccare lo schienale della tua sedia.
bph0003;Cerca di distribuire equamente il tuo peso su entrambi i fianchi.
bph0004;I piedi dovrebbero essere tenuti appoggiati sul pavimento.
bph0005;Mentre ti concentri su una parola posta all'altezza degli occhi e alla distanza del tuo braccio, gira la testa a sinistra e a destra cercando sempre di mantenere l'obiettivo a fuoco per 1 minuto.
bph0006;Mentre ti concentri sul tuo dito indice posto all'altezza degli occhi e alla distanza del braccio, gira sia la tua testa che la scheda a sinistra e a destra in direzioni opposte cercando sempre di mantenere l'obiettivo a fuoco. Prova a fare pratica per un minuto.
bph0007;Mentre ti concentri sul tuo dito indice posto all'altezza degli occhi e alla distanza delle tue braccia, muovi la testa su e giù cercando sempre di mantenere l'obiettivo a fuoco. Prova a fare pratica per 1 minuto.
bph0008;Muovi la testa in alto per guardare il soffitto e in basso per guardare il pavimento. Prova ad esercitarti per 1 minuto.
bph0009;Aumenta gradualmente la velocità man mano che l'esercizio diventa più facile, finché non sarai in grado di esercitarti a una velocità elevata.
bph0010;Cerca di mantenere la testa in posizione eretta, guardando dritto davanti a te. La tua testa non dovrebbe piegarsi in avanti o indietro nella posizione di partenza.
bph0011;L'obiettivo è quello di piegarsi come per raccogliere un oggetto dal pavimento e tornare in posizione eretta.
bph0012;L'obiettivo è quello di piegarsi lateralmente come per raccogliere un oggetto dal pavimento e tornare in posizione eretta.
bph0013;Mentre ti pieghi assicurati di portare il mento al petto e di riportare la testa alla normale posizione eretta mentre sali.
bph0014;Tieni i tuoi occhi chiusi.
bph0015;Tieni i tuoi occhi aperti
bph0016;Cerca di ripeterlo cinque volte.
bph0017;Ascolta le istruzioni e non iniziare l'esercizio prima di aver ascoltato le istruzioni e di avermi visto eseguire l'esercizio. Se in qualsiasi momento durante l'esercizio hai bisogno di fermarti, per favore dici "STOP".
bph0018;Stai in piedi con la testa e il busto in posizione eretta.
bph0019;Posizionare i piedi alla stessa larghezza delle anche con le dita dei piedi rivolte in avanti.
bph0020;Stai con i piedi vicini, se possibile, con i talloni e le punte dei piedi che si toccano.
bph0021;Per questo esercizio, cerca di mantenere l'equilibrio in questa posizione per un minuto.
bph0022;Non appena senti una pressione sulle dita dei piedi o sui talloni, ritorna alla posizione centrale con il peso sulla pianta del piede.
bph0023;Dopo aver agitato i piedi per attivare le solette a pressione, calpestare il cuscinetto di schiuma.
bph0024;Per questo esercizio, ti piegherai come per raccogliere un oggetto dal pavimento.
bph0025;Per questo esercizio, cercherai di allungare le braccia come per prendere un oggetto da un armadio.
bph0026;Cerca di inclinare leggermente la testa all'indietro mentre ti avvicini.
bph0027;Cerca di inclinare leggermente la testa all'indietro mentre ti avvicini. Appena arrivato, prova a sollevare i talloni dal pavimento.
bph0028;Per questo esercizio, girerai di 180 gradi per rivolgerti nella direzione opposta.
