bph0001;Sente-se de costas o mais direito possível, concentre-se e tente manter os seus ombros relaxados.
bph0002;Deve sentar-se, encostando o fundo das costas à parte de trás da sua cadeira.
bph0003;Tente distribuir o seu peso igualmente em ambas as ancas.
bph0004;Os pés devem ser mantidos planos no chão.
bph0005;<speak>Enquanto se concentra numa palavra colocada ao nível dos olhos e<emphasis level="strong">à distância do seu braço</emphasis>,vire a cabeça para a esquerda e direita tentando sempre manter o alvo em foco durante 1 minuto.</speak>
bph0006;Enquanto se concentra no seu dedo indicador colocado ao nível dos olhos e do braço, vire tanto a sua cabeça como o cartão para a esquerda e para a direita em direcções opostas, tentando sempre manter o alvo em foco. Tente praticar durante um minuto.
bph0007;Enquanto se concentra no seu dedo indicador colocado ao nível dos olhos e à distancia dos braços, mova a sua cabeça para cima e para baixo tentando sempre manter o alvo em foco. Tente praticar durante 1 minuto.
bph0008;Mova a sua cabeça para cima para olhar para o tecto e para baixo para olhar para o chão. Tente praticar durante 1 minuto.
bph0009;Gradualmente aumente a sua velocidade à medida que o exercício se torna mais fácil, até ser capaz de fazer o exercício a uma velocidade rápida.
bph0010;Tente manter a sua cabeça erguida, olhando em frente. A sua cabeça não deve estar inclinada para a frente ou para trás na posição inicial.
bph0011;O objectivo é inclinar-se como se fosse pegar num objecto do chão e regressar à posição vertical.
bph0012;O objectivo é inclinar-se de lado como se fosse pegar num objecto do chão e regressar à posição vertical.
bph0013;Ao inclinar-se para baixo, certifique-se de trazer o queixo ao peito e volte a colocar a cabeça na posição vertical normal ao subir.
bph0014;Mantenha os olhos fechados.
bph0015;Mantenha os olhos abertos
bph0016;Tente repetir 5 vezes.
bph0017;Por favor, ouça as instruções e não comece o exercício até que tenha ouvido as instruções e me tenha visto a fazer o exercício. Se em algum momento durante o exercício precisar de parar, por favor, diga "PARE".
bph0018;Fique de pé com a cabeça e o tronco em posição vertical.
bph0019;Posicione os seus pés afastados à mesma largura da anca, com os dedos dos pés apontar para a frente
bph0020;Fique de pé com os pés juntos, e se possível, com os calcanhares e os dedos dos pés a tocarem-se.
bph0021;Para este exercício, por favor tente manter o seu equilíbrio nesta posição durante um minuto.
bph0022;Assim que sentir pressão nos dedos dos pés ou nos calcanhares, volte à posição central com o seu peso na planta dos pés.
bph0023;Depois de abanar os pés para activar as palmilhas de pressão, pise na almofada de espuma.
bph0024;Para este exercício, irá inclinar-se como se fosse pegar num objecto do chão.
bph0025;Para este exercício, tentará estender os seus braços como se fosse tirar um objecto de um armário.
bph0026;Tente inclinar ligeiramente a sua cabeça para trás à medida que se aproxima do topo.
bph0027;Tente inclinar ligeiramente a sua cabeça para trás à medida que se aproxima do topo. Ao subir, tente levantar os calcanhares do chão.
bph0028;Para este exercício, vai virar 180 graus para ficar de frente na direção oposta.
bph0029;Ao virar para a esquerda, por favor comece a rotação com o seu pé esquerdo. Ao virar para a direita, por favor comece a rotação com o pé direito. Ao virar, tente dar grandes passos, e mantenha o seu peso sobre a planta do pé que está no chão.
bph0030;Tente não girar.
bph0031;Tente fazer 3 voltas para a esquerda e 3 voltas para a direita
bph0032;Atravesse a sala tentando olhar em frente para o horizonte, mas não fixe o seu olhar em nenhum objecto. Tente praticar durante um minuto.
bph0033;Tente evitar olhar para o chão constantemente.
bph0034;Certifique-se de deslocar o peso do seu corpo a cada passo e tente incorporar o movimento dos braços
bph0035;Aumente gradualmente a velocidade de marcha à medida que o exercício se torna mais fácil.
bph0036;Caminhe pela sala virando a sua cabeça para a esquerda e para a direita para olhar para trás e para a frente entre os dois alvos. Tente praticar durante um minuto.
bph0037;Atravesse a sala virando a sua cabeça para a esquerda e para a direita o mais possível, examinando a sala como faria ao atravessar a rua. Tente praticar durante um minuto.
bph0038;Caminhe pela sala movendo a cabeça para cima para olhar para o tecto e para baixo para olhar para o chão. Tente praticar durante um minuto.
