Key,EN,GR,DE,PT,IT,Audio,Comment
sitting_1_info,Control the camera frame by turning you head to the left and right. The arrows will show you the direction. Your goal is to keep the frame on the bird.,Ελέγξτε το πλαίσιο της κάμερας στρέφοντας το κεφάλι σας προς τα αριστερά και τα δεξιά. Τα βέλη θα σας δείξουν την κατεύθυνση. Ο στόχος σας είναι να διατηρήσετε το πλαίσιο στο πουλί.,"Trainieren Sie ihr Gleichgewicht im Sitzen.
Versuchen Sie, den Vogel vor sich zu fotografieren. Sie können den Kamerarahmen steuern, indem Sie den Kopf nach links und rechts drehen. 
Die Pfeile zeigen Ihnen die Richtung an in die Sie den Kopf bewegen sollen. Machen Sie dabei gleichmäßige Bewegungen mit dem Kopf nach links und rechts. ",O objetivo consiste em manter o enquadramento da imagem no pássaro. Pode controlar a câmera movendo a cabeça para a esquerda e para a direita. As setas mostram a direção na qual deve mover a cabeça.,Controlla l'inquadratura della telecamera girando la testa a sinistra e a destra. Le frecce ti mostreranno la direzione. Il tuo obiettivo è mantenere l'inquadratura sull'uccello.,,
sitting_2_info,Control the camera frame by moving your head up and down. The arrows will show you the direction. Your goal is to keep the frame on the bird.,Ελέγξτε το πλαίσιο της κάμερας μετακινώντας το κεφάλι σας πάνω-κάτω. Τα βέλη θα σας δείξουν την κατεύθυνση. Ο στόχος σας είναι να διατηρήσετε το πλαίσιο στο πουλί.,"Trainieren Sie ihr Gleichgewicht im Sitzen.
Versuchen Sie, den Vogel vor sich zu fotografieren. Sie können den Kamerarahmen steuern, indem Sie den Kopf nach links und rechts drehen. 
Die Pfeile zeigen Ihnen die Richtung an in die Sie den Kopf bewegen sollen. Machen Sie dabei gleichmäßige Bewegungen mit dem Kopfnach oben und unten. 
",O objetivo consiste em manter o enquadramento da imagem no pássaro. Pode controlar a câmera movendo a cabeça para cima e para a baixo. As setas mostram a direção na qual deve mover a cabeça.,Controlla l'inquadratura della telecamera muovendo la testa su e giù. Le frecce ti mostreranno la direzione. Il tuo obiettivo è mantenere l'inquadratura sull'uccello.,,
standing_1_info,The goal is to help the seal concentrate on ball juggling by standing still.,Ο στόχος είναι να βοηθήσουμε τη φώκια να κάνει το ζογκλέρ με τη μπάλα μένοντας ακίνητοι.,"Stehübung 1
Trainieren Sie ihr Gleichgewicht im Stehen.
Versuchen Sie, so ruhig wie möglich zu stehen, damit der Seehund den Ball jonglieren kann.",O objetivo consiste em ajudar a foca a fazer malabarismos com a bola. Permaneça o mais imóvel possivel.,L'obiettivo è quello di aiutare la foca a concentrarsi sul mantenere la palla in equilibrio stando ferma.,,
standing_2_info,Your goal is to command the dog in front of you to lay down. You will send the command by bending down your body.,Ο στόχος σας είναι να διατάξετε το σκυλί μπροστά σας να ξαπλώσει. Θα στείλετε την εντολή σκύβοντας με το σώμα σας.,"Trainieren Sie Ihr Gleichgewicht während des Stehens und Bückens.
Um dem Hund vor Ihnen zu befehlen, sich hinzulegen, stehen Sie still und bücken Sie sich dann. 
Rollen Sie sich Wirbel für Wirbel nach unten ab. Rollen Sie sich danach Wirbel für Wirbel wieder nach oben auf in eine aufrechte Position. 
Wichtig ist immer zuerst das Kinn zur Brust zu nehmen, damit ich Ihre Bewegung erkennen kann. 
",O objetivo consiste em fazer com que o cão à sua frente se deite. Para comandar o cão deve curvar-se.,Il vostro obiettivo è di ordinare al cane di fronte a voi di sdraiarsi. Invierete il comando piegando il vostro corpo.,,
standing_3_info,Your goal is to command the dog in front of you to jump. You will send the command by raising up your hands.,Ο στόχος σας είναι να δώσετε εντολή στον σκύλο σας να πηδήξει. Θα στείλετε την εντολή σηκώνοντας τα χέρια σας.,"Trainieren Sie ihr Gleichgewicht im Stehen.
Um dem Hund vor Ihnen zu befehlen, zu springen, stehen Sie still und strecken Sie die Arme nach oben.
Wichtig ist den Kopf leicht nach oben zu nehmen, damit ich Ihre Bewegung erkennen kann. 
",O objetivo consiste em fazer com que o cão à sua frente salte. Para comandar o cão deve levantar as mãos acima da cabeça.,Il vostro obiettivo è di ordinare al cane di fronte a voi di saltare. Invierete il comando alzando le mani.,,
walking_1_info,"The goal is to follow the bird in front of you to reach the flower. After you reach the flower, turn back and follow the bird again.","Ο στόχος είναι να ακολουθήσετε το πουλί μπροστά σας για να φτάσετε στο λουλούδι. Αφού φτάσετε στο λουλούδι, γυρίστε πίσω και ακολουθήστε ξανά το πουλί.","Trainieren Sie ihr Gleichgewicht beim Gehen.
Bitte folgen Sie dem Vogel vor Ihnen, um die Blume zu erreichen. Nachdem Sie die Blume erreicht haben, drehen Sie um und kehren Sie auf dem Pfad zurück. Folgen Sie dem Vogel erneut. Wiederholen Sie diesen Vorgang bis das Spiel beendet ist.
","O objetivo consiste em seguir o pássaro à sua frente até alcançar a flor. Assim que chegar à flor, vire-se e siga o pássaro novamente.","L'obiettivo è quello di seguire l'uccello davanti a te mentre raggiunge il fiore. Dopo aver raggiunto il fiore, torna indietro e segui di nuovo l'uccello.",,
walking_2_info,"The goal is to follow the bird in front of you to reach the flower. While walking straight to the flower, track the bird with your head. After you reach the flower, turn back and follow the bird again. ","Ο στόχος είναι να ακολουθήσετε το πουλί μπροστά σας για να φτάσετε στο λουλούδι. Καθώς περπατάτε κατευθείαν στο λουλούδι, παρακολουθήστε το πουλί με το κεφάλι σας. Αφού φτάσετε στο λουλούδι, γυρίστε πίσω και ακολουθήστε ξανά το πουλί.","Trainieren Sie ihr Gleichgewicht, während Sie gehen und Ihren Kopf bewegen.
Bitte folgen Sie dem Weg, um die Blume zu erreichen. Verfolgen Sie den Vogel beim Gehen mit Ihrem Kopf. Wenn Sie die Blume erreichen, drehen Sie sich um und gehen Sie auf die gleiche Weise zur anderen Blume. Wiederholen Sie diesen Vorgang, bis das Spiel beendet ist.","O objetivo consiste em seguir o pássaro à sua frente até alcançar a flor. Enquanto caminha em direção à flor, acompanhe o pássaro com a cabeça. Depois de chegar à flor, vire-se e siga o pássaro novamente.","L'obiettivo è quello di seguire l'uccello davanti a te mentre raggiunge il fiore. Mentre cammini dritto verso il fiore, segui l'uccello con la testa. Dopo aver raggiunto il fiore, torna indietro e segui di nuovo l'uccello.",,
memory_game_info,"This is a memory game.
Look at the cards and try to remember their order. After a few moments, the cards will disappear, and appear again in a different order. Place the cards back into the original order. You can select the card by looking at the card, then moving the head to the desired position of the card.","Προπονήστε την χωρική μνήμη ανάκλησής σας.
Κοιτάξτε τις κάρτες και προσπαθήστε να θυμηθείτε την σειρά τους. Μετά από λίγο, οι κάρτες θα εξαφανιστούν, και θα εμφανιστούν ξανά σε διαφορετική σειρά. Τοποθετήστε τις κάρτες πίσω στην αρχική σειρά.. Μπορείτε να επιλέξετε την κάρτα κοιτώντας την κάρτα, μετα κουνώντας το κεφάλι στην επιθυμητή θέση της κάρτας.","Dies ist ein Memory-Spiel.
Schauen Sie sich die Karten an und versuchen Sie, sich an ihre Reihenfolge zu erinnern. Nach einigen Augenblicken verschwinden die Karten und erscheinen wieder in einer anderen Reihenfolge. Legen Sie die Karten wieder in die ursprüngliche Reihenfolge. Sie können die Karte auswählen, indem Sie auf die Karte schauen, Sie wird automatisch an die erste freie Stelle nach oben gelegt. Falls Sie einen Fehler gemacht haben, können Sie die Karten von oben wieder nach unten bewegen indem Sie diese ansehen.
","Este é um jogo de memória.
 Olhe para as cartas e memorize a sua ordem. Após alguns momentos, as cartas irão desaparecer e reaparecer numa ordem diferente. Coloque as cartas de volta na ordem original. Para reposicionar a carta, selecione-a olhando para ela e mova a cabeça para a posição desejada.","Questo è un gioco di memoria.
 Guarda le carte e cerca di ricordare il loro ordine. Dopo qualche istante, le carte scompariranno e appariranno di nuovo in un ordine diverso. Rimetti le carte nell'ordine originale. Puoi selezionare la carta guardandola, poi spostarla muovendo la testa nella posizione desiderata.",,
catching_apples_info,"This game focuses on how quickly you can catch the apples.
Catch the apples that are falling from the tree with the basket. The apples will turn red before falling. Move the basket to catch the apples by turning your head left or right.","Προπονείστε την γρήγορη επεξεργασία οπτικών πληροφοριών και τον χρόνο αντίδρασης.
Πιάστε τα μήλα που πέφτουν από το δέντρο με το καλάθι. Τα μήλα θα γίνουν κόκκινα πριν πέσουν. Μετακινήστε το καλάθι γυρνώντας το κεφάλι σας αριστερά ή δεξιά.
","Dieses Spiel konzentriert sich darauf, wie schnell Sie die Äpfel fangen können.
Fangen Sie die Äpfel, die vom Baum fallen, mit dem Korb. Die Äpfel werden rot, bevor sie fallen. Bewegen Sie den Korb, um die Äpfel zu fangen, indem Sie den Kopf nach links oder rechts drehen.","Este jogo testa a rapidez com que consegue apanhar as maçãs.
 Use a cesta para apanhar as maçãs que caem da árvore. As maçãs ficarão vermelhas antes de cair. Mova a cesta para apanhar as maçãs virando a cabeça para a esquerda ou direita.","Questo gioco si basa sulla velocità con cui si riesce a prendere le mele.
 Prendi le mele che cadono dall'albero con il cesto. Le mele diventeranno rosse prima di cadere. Muovi il cesto per prendere le mele girando la testa a sinistra o a destra.",,
remember_previous_1_info,"This game focuses on problem solving.
Different kinds of animals will appear below the magical hat. If the animal is the same as the previous animal, select “same.”  If it is different, select “different.”  Select the correct button by looking at it.","Προπονήστε τις δεξιότητές σας επίλυσης προβλημάτων σε συσχετισμό με την ταχεία οπτική επεξεργασία πληροφοριών.
Διαφορετικά είδη ζώων θα εμφανιστούν κάτω από το μαγικό καπέλο. Αν το ζώο είναι το ίδιο όπως το προηγούμενο ζώο, επιλέξτε “ίδιο”. Αν είναι διαφορετικό,επιλέξτε “διαφορετικό”. Επιλέξτε το σωστό κουμπί κοιτώντας το.","Dieses Spiel konzentriert sich auf das Lösen von Problemen.
Unter dem magischen Hut erscheinen verschiedene Tierarten. Wenn das Tier das Sie sehen, mit dem vorherigen Tier identisch ist, wählen Sie ""dasselbe"". Wenn es ein anderes ist, wählen Sie ""anders"" aus. Wählen Sie die richtige Schaltfläche aus indem Sie Sie ansehen.
","Este jogo centra-se na resolução de problemas.
 Diferentes tipos de animais irão aparecer sob o chapéu mágico. Se o animal for igual ao anterior, selecione “igual”. Se for diferente, selecione “diferente”. Escolha o botão correto olhando para ele.","Questo gioco si occupa di problem solving.
 Diversi tipi di animali appariranno sotto il cappello magico. Se l'animale è uguale a quello precedente, seleziona ""stesso"". Se è diverso, seleziona ""diverso"". Seleziona il pulsante corretto guardandolo.",,
